text,label
Жаңа курсқа жазылу: Сәлеметсіз бе! Біздің жаңа онлайн курсымызға жазылыңыз және білім алудың жаңа мүмкіндіктерімен танысыңыз. Қосымша ақпаратты біздің сайттан таба аласыз.,0
"Вебинарға шақыру: Құрметті әріптестер, біз сіздерді келесі аптада өтетін вебинарымызға шақырамыз. Тіркелу үшін [сілтеме] басыңыз.",0
"Қызмет көрсету жайлы: Сіздің қызмет көрсету сапасыңызға қатысты пікіріңізді білгіміз келеді. Өтінеміз, сауалнаманы толтырыңыз және бізге жіберіңіз.",0
Жаңа өнімдер: Біздің дүкенде жаңа өнімдер пайда болды! Жаңа келген заттарды көру үшін біздің сайтқа кіріңіз.,0
"Тапсырысыңызды растау: Құрметті клиент, сіздің тапсырысыңыз қабылданды. Жақын арада жеткізіледі.",0
Жаңалықтар бюллетені: Біздің соңғы жаңалықтарымызды алу үшін бюллетенімізге жазылыңыз. Ешбір жаңалықты жіберіп алмаңыз!,0
"Акция және жеңілдіктер: Біздің дүкенде үлкен жеңілдіктер! Асығыңыз, ұсыныс тек шектеулі уақытқа дейін жарамды.",0
"Конференцияға шақыру: Құрметті әріптестер, біз сіздерді алдағы конференцияға шақырамыз. Толығырақ ақпаратты біздің сайттан таба аласыз.",0
Қызмет көрсету туралы пікір: Сізге қызмет көрсетудің сапасы жайлы пікіріңізді білдіруді ұмытпаңыз. Сіздің пікіріңіз біз үшін өте маңызды.,0
Жаңа қызметтер: Біз жаңа қызмет түрлерін ұсынамыз! Толығырақ ақпаратты біздің сайттан таба аласыз.,0
"Жазылымды растау: Құрметті клиент, сіздің жазылымыңыз сәтті расталды. Біздің қызметтерімізді пайдаланып көріңіз.",0
Бонус бағдарламасы: Біздің жаңа бонус бағдарламамызға қосылыңыз және арнайы жеңілдіктер алыңыз. Толығырақ ақпаратты сайттан таба аласыз.,0
"Жаңа жұмыс орындары: Біздің компанияда жаңа жұмыс орындары ашылды. Өтінеміз, резюмеңізді [электронды пошта] мекенжайына жіберіңіз.",0
Құттықтаймыз!: Сіз біздің конкурстың жеңімпазы атандыңыз! Сыйлықты алу үшін бізбен байланысыңыз.,0
"Маңызды хабарлама: Құрметті клиент, маңызды ақпаратпен бөлісуді ұмытпаңыз. Біздің хабарламаларымызды қараңыз.",0
Пайдаланушы нұсқаулығы: Біздің жаңа өніміміздің пайдаланушы нұсқаулығын біздің сайттан таба аласыз.,0
Жаңа веб-сайт: Біздің жаңа веб-сайт іске қосылды! Жаңа мүмкіндіктерді қараңыз.,0
"Сауалнамаға қатысу: Сіздің пікіріңіз біз үшін маңызды. Өтінеміз, сауалнамаға қатысыңыз және өз пікіріңізді білдіріңіз.",0
"Қайырымдылық шарасы: Қайырымдылық шарасына қатысуға шақырамыз. Бірге қайырымдылық жасап, адамдарға көмектесейік.",0
Жаңа мобилді қосымша: Біздің жаңа мобилді қосымшаны жүктеп алыңыз және барлық жаңалықтардан хабардар болыңыз.,0
Ақпараттық хат: Біздің соңғы жаңалықтарымыз бен ұсыныстарымызды ақпараттық хат арқылы алыңыз.,0
Тапсырысты жаңарту: Сіздің тапсырысыңыз жаңартылды. Жеткізу туралы толық ақпаратты біздің сайттан таба аласыз.,0
Қауіпсіздік ережелері: Біздің жаңа қауіпсіздік ережелерімен танысыңыз және өз қауіпсіздігіңізді қамтамасыз етіңіз.,0
Мерекелік ұсыныс: Мерекелік акциялар мен жеңілдіктерді пайдаланыңыз. Ұсыныстар тек шектеулі уақытқа дейін жарамды.,0
Қызмет көрсету сапасы: Біздің қызмет көрсету сапасын бағалаңыз. Сіздің пікіріңіз біз үшін маңызды.,0
Жаңа түрдегі марихуананы байқап көр! Нағыз босаңсуды қалайсың ба? Жаңа түрдегі марихуананы байқап көр. [адрес/контакт] бойынша сатылады. Бірінші тапсырыста 10% жеңілдік алыңыз!,1
Қаланың ең жақсы есірткілеріне жеңілдіктер! Қаланың ең жақсы есірткілеріне жеңілдіктер! Тек өз адамдары үшін. [номер/контакт] жаз. Біздің клиенттерге эксклюзивті ұсыныстар!,1
Арзан бағамен жаңа сортты темекі! Арзан бағамен жаңа сортты темекі! Қазір тапсырыс беріңіз және 20% жеңілдік алыңыз. Эксклюзивті дәмдер және жылдам жеткізу.,1
Әртүрлі дәмдегі электронды темекілер! Жаңа нәрсе байқап көргіңіз келе ме? Әртүрлі дәмдегі электронды темекілер. [номер/контакт] жаз. Үлкен таңдау және арнайы ұсыныстар!,1
Миллион ұтып алу мүмкіндігін жіберіп алмаңыз! Миллион ұтып алу мүмкіндігін жіберіп алмаңыз! Біздің онлайн казино ойнаңыз және бірінші депозитке бонус алыңыз. Сәттілік сізді күтуде!,1
Біздің құмар ойындарымызда өз бақытыңызды байқап көріңіз! Адреналин іздеп жүрсіз бе? Біздің құмар ойындарымызда өз бақытыңызды байқап көріңіз! [сайт] тіркеліңіз және сәлемдеме бонусын алыңыз. Жүздеген ойындар және жедел ұтыстар!,1
Жаңа түрдегі шылым қоспалары! Жаңа түрдегі шылым қоспаларын байқап көріңіз. Бізде эксклюзивті. 30% дейін жеңілдіктер!,1
Құпия казино клубы сізді күтуде! Біздің жабық казино клубымыздың бір бөлігі болыңыз. Үлкен ұтыстар және арнайы ұсыныстар тек клуб мүшелері үшін.,1
Ең жақсы марихуана сорттары арзан бағамен! Ең жақсы марихуана сорттарына арнайы ұсыныс. Тек бізде! Тапсырыс беру үшін [номер/контакт] жаз.,1
Виски мен сигарлар - мінсіз дуэт! Үздік виски мен сигарлардың дәмін татыңыз. Шынайы дәмді бағалаушылар үшін арнайы ұсыныстар.,1
Үлкен ұтыстар сізді күтуде! Өз мүмкіндігіңізді жіберіп алмаңыз! Біздің онлайн казинода ойнаңыз және күн сайын үлкен ұтыстар алыңыз. Қазір қосылыңыз!,1
Темекінің сынақ партиясы тегін! Біздің жаңа темекінің сынақ партиясын мүлдем тегін алыңыз. Шектеулі ұсыныс!,1
Жаңа ойыншылар үшін казино бонустары! Біздің казинода тіркеліңіз және бірінші депозиттерге бонустар алыңыз. Ойнаңыз және жеңіңіз!,1
Есірткілерге арнайы ұсыныс! Тек бүгін! Ең жақсы есірткілерге арнайы ұсыныс. Тапсырыс беру үшін [номер/контакт] жаз.,1
Электронды темекілерге 50% жеңілдік! Барлық электронды темекілерге 50% жеңілдік! Шектеулі ұсыныс. Қазір тапсырыс беріңіз және жаңа дәмдерді тамашалаңыз.,1
Шылым қоспаларына супер ұсыныс! Біздің жаңа шылым қоспаларын байқап көріңіз. Үлкен таңдау және керемет бағалар!,1
"Лотереяда ұтып алыңыз! Біздің лотереямызға қатысыңыз және бағалы сыйлықтар ұтып алыңыз. Шектелген орындар саны, асығыңыз!",1
Арзан бағамен жаңа марихуана түрлері! Қазір тапсырыс беріңіз және 15% жеңілдік алыңыз. Тек бізде!,1
Темекіге арнайы ұсыныс! Эксклюзивті темекі сорттары тек бізде. 25% дейін жеңілдіктер!,1
Виртуалды казинолар сізді күтуде! Қазір тіркеліңіз және бірінші депозиттерге бонустар алыңыз. Сәттілік сізді күтуде!,1
Есірткілерге құпия ұсыныстар! Біздің құпия ұсыныстарымызға қол жеткізіңіз. [номер/контакт] жаз.,1
Электронды темекілерге 30% жеңілдік! Қазір тапсырыс беріңіз және барлық электронды темекілерге 30% жеңілдік алыңыз. Шектеулі ұсыныс.,1
"Казинода ойнап, ұтып алыңыз! Біздің казинода үлкен ұтыстар сізді күтуде. Қазір тіркеліңіз және бонустар алыңыз.",1
Ең жақсы марихуана сорттары! Бізде ең жақсы марихуана сорттарын тапсырыс беріңіз. Жеңілдіктер және жылдам жеткізу.,1
Темекіге 20% жеңілдік! Біздің жаңа темекіні тапсырыс беріңіз және 20% жеңілдік алыңыз. Шектеулі ұсыныс.,1
"Құрметті пайдаланушы, қала орталығындағы кеңселерді төмен бағамен жалға ала аласыз! Бұл бірегей мүмкіндік, тек бүгін ғана! Жылдам хабарласыңыз: +7 (123) 456-7890 немесе осы сілтемеге өтіп, келісімшарт жасасу үшін. Егер қазір әрекет етпесеңіз, бұл керемет ұсынысты жіберіп аласыз!",1
"Жазғы демалысты тамаша өткізу үшін арзан саяжай сатып алыңыз! Барлық қажетті жағдайлар жасалған. Шектеулі ұсыныс! Қазір қоңырау шалыңыз: +7 (987) 654-3210 немесе осы сілтемеге өтіп, сатып алыңыз. Сіз оны бөліп төлеу мүмкіндігімен 0% бастапқы жарнасымен ала аласыз.",1
"Бұл спам емес! Тек қазір, айына 5000 АҚШ доллары табыс табу мүмкіндігіңіз бар! Үйден шықпай-ақ, көп ақша табыңыз! Толық ақпарат алу үшін осы сілтемеге өтіңіз. Жылдам әрекет етіңіз, орындар шектеулі!",1
"Айына 10000 АҚШ доллары табыңыз! Біздің командаға қосылып, MLM жүйесі арқылы байып кетіңіз! Осы сілтемеге өтіп, тіркеліңіз. Бұл сіздің өміріңізді өзгертеді, егер қазір қосылмасаңыз, мүмкіндігіңізді жіберіп аласыз!",1
"Үйден шықпай, айына 6000 АҚШ доллары табыңыз! Сізге тек біздің қарапайым нұсқаулықтарды орындау қажет. Толық ақпаратты алу үшін осы сілтемеге өтіңіз немесе хабарласыңыз. Егер қазір әрекет етпесеңіз, бұл керемет мүмкіндік жоғалады!",1
"Сәлем, дос! Мені ұмытып қалдың ба? Біз бір мектепте оқыдық қой. Мен сені интернет арқылы таптым. Суретімді көргің келсе, мына сайттан табасың. Егер қазір тіркелмесең, мүмкіндігіңді жіберіп аласың!",1
"Амансың ба? Мен саған теңізде демалып қайтқанымды айттым ба? Ештеңе етпейді, сен одан да досыңның қалай өзгергенін қара, мына сайтқа кір. Біз сені күтеміз!",1
Таза швейцар сағатын таққыңыз келе ме? Бастапқы бағасы 400 АҚШ доллары. Ал сіз 45 АҚШ долларына ала аласыз. Бұл ұсыныс тек шектеулі уақытқа ғана жарамды. Сатып алу үшін осы сілтемеге өтіңіз.,1
"Құрметті пайдаланушы, біз сізге кәсіби қызмет көрсетеміз. Жылдам және сапалы қызмет алу үшін хабарласыңыз: +7 (123) 456-7890 немесе осы сілтемеге өтіңіз. Тек бүгін ғана арнайы ұсыныс!",1
"Құрметті пайдаланушы, сізге жылдам несие алу мүмкіндігі бар! Тек қазір өтініш беріңіз және ақша алыңыз. Шектеулі ұсыныс! Толық ақпарат алу үшін осы сілтемеге өтіңіз. 0% бастапқы жарнасымен.",1
Жаңа автокөліктерді төмен бағамен сатып алыңыз! Барлық маркалар және модельдер бар. Шектеулі ұсыныс! Толық ақпарат алу үшін хабарласыңыз: +7 (987) 654-3210. Бөліп төлеу мүмкіндігімен 0% бастапқы жарнасымен сатып алыңыз.,1
Сіздің бизнесіңізді дамыту үшін жаңа мүмкіндіктер. Шектеулі ұсыныс! Толық ақпаратты алу үшін осы сілтемеге өтіңіз немесе хабарласыңыз. Тек бүгін ғана арнайы ұсыныс!,1
Қала орталығындағы жылжымайтын мүліктерді төмен бағамен сатып алыңыз! Шектеулі ұсыныс! Толық ақпаратты алу үшін осы сілтемеге өтіңіз немесе хабарласыңыз. Сіз оны бөліп төлеу мүмкіндігімен 0% бастапқы жарнасымен ала аласыз.,1
Шетелде демалу үшін арзан турлар. Шектеулі ұсыныс! Толық ақпарат алу үшін осы сілтемеге өтіңіз. Тек бүгін ғана арнайы жеңілдіктер!,1
Сіздің техникалық қызмет көрсетуіңізге арналған кәсіби қызметтер. Шектеулі ұсыныс! Байланыс: +7 (123) 456-7890. Тек бүгін ғана арнайы жеңілдіктер!,1
"Жоғары табысты инвестиция жасау мүмкіндігі. Шектеулі ұсыныс! Толық ақпарат алу үшін осы сілтемеге өтіңіз немесе хабарласыңыз. Егер қазір инвестиция жасамасаңыз, бұл мүмкіндікті жоғалтасыз!",1
Жаңа білім алу үшін онлайн оқу курстарына тіркеліңіз. Шектеулі ұсыныс! Толық ақпарат алу үшін осы сілтемеге өтіңіз. Тек бүгін ғана арнайы жеңілдіктер!,1
Сіздің жеке дамуыңызға арналған курстар. Шектеулі ұсыныс! Толық ақпарат алу үшін осы сілтемеге өтіңіз. Тек бүгін ғана арнайы жеңілдіктер!,1
Сізге жеке көмекші қызметтерін ұсынамыз. Шектеулі ұсыныс! Толық ақпарат алу үшін осы сілтемеге өтіңіз. Тек бүгін ғана арнайы жеңілдіктер!,1
Сіздің денсаулығыңызға арналған кәсіби массаж қызметтері. Шектеулі ұсыныс! Толық ақпарат алу үшін осы сілтемеге өтіңіз. Тек бүгін ғана арнайы жеңілдіктер!,1
Спорт залға төмен бағамен мүшелік алыңыз. Шектеулі ұсыныс! Толық ақпарат алу үшін осы сілтемеге өтіңіз. Тек бүгін ғана арнайы жеңілдіктер!,1
Сіздің фитнес мақсаттарыңызға жету үшін жеке жаттықтырушы қызметтері. Шектеулі ұсыныс! Толық ақпарат алу үшін осы сілтемеге өтіңіз. Тек бүгін ғана арнайы жеңілдіктер!,1
Жылдам арықтау үшін арнайы бағдарлама. Шектеулі ұсыныс! Толық ақпарат алу үшін осы сілтемеге өтіңіз. Тек бүгін ғана арнайы жеңілдіктер!,1
